Month,AcqChannel,UniqueCustomers,TotalOrders,TotalRevenue,AvgProjectedLTV,AvgOrderValue
2022-01,Influencer,96,108,11686.99,729.82,108.21
2022-01,Organic,262,294,36039.16,1130.2,122.58
2022-01,Paid Social,395,446,54324.27,1149.49,121.8
2022-01,Search,199,218,27783.46,1087.56,127.45
2022-02,Influencer,82,85,10572.51,710.64,124.38
2022-02,Organic,285,317,37562.01,1132.45,118.49
2022-02,Paid Social,343,379,46598.57,1082.46,122.95
2022-02,Search,171,193,23576.13,1084.64,122.16
2022-03,Influencer,94,101,12595.42,663.72,124.71
2022-03,Organic,278,305,34472.1,1168.41,113.02
2022-03,Paid Social,419,469,54796.94,1116.22,116.84
2022-03,Search,177,194,24255.63,1202.72,125.03
2022-04,Influencer,98,109,13958.64,705.22,128.06
2022-04,Organic,278,306,39329.38,1154.51,128.53
2022-04,Paid Social,371,422,51537.81,1166.56,122.13
2022-04,Search,190,205,24856.52,1180.38,121.25
2022-05,Influencer,95,105,12910.79,794.07,122.96
2022-05,Organic,309,347,41492.67,1180.53,119.58
2022-05,Paid Social,397,447,53177.74,1169.13,118.97
2022-05,Search,185,204,26565.93,1094.88,130.23
2022-06,Influencer,94,102,12177.78,710.13,119.39
2022-06,Organic,278,299,35054.8,1176.64,117.24
2022-06,Paid Social,377,425,47710.89,1153.43,112.26
2022-06,Search,199,220,27591.49,1144.58,125.42
2022-07,Influencer,95,109,12492.65,735.0,114.61
2022-07,Organic,282,318,36775.38,1118.79,115.65
2022-07,Paid Social,379,413,50497.77,1103.59,122.27
2022-07,Search,190,211,24110.92,1177.85,114.27
2022-08,Influencer,104,116,12144.07,726.33,104.69
2022-08,Organic,316,355,45100.01,1158.67,127.04
2022-08,Paid Social,395,433,55915.51,1096.94,129.14
2022-08,Search,198,222,25280.64,1192.91,113.88
2022-09,Influencer,99,113,14117.78,745.94,124.94
2022-09,Organic,293,318,38099.65,1124.82,119.81
2022-09,Paid Social,381,413,49910.52,1119.14,120.85
2022-09,Search,184,208,25411.74,1160.82,122.17
2022-10,Influencer,88,93,9512.94,697.46,102.29
2022-10,Organic,266,290,32864.14,1180.33,113.32
2022-10,Paid Social,409,461,54870.04,1147.31,119.02
2022-10,Search,181,200,24230.34,1152.66,121.15
2022-11,Influencer,91,104,12417.46,697.56,119.4
2022-11,Organic,288,319,36091.2,1150.68,113.14
2022-11,Paid Social,397,439,51278.39,1078.03,116.81
2022-11,Search,190,212,24694.62,1145.88,116.48
2022-12,Influencer,105,112,13760.15,731.68,122.86
2022-12,Organic,268,300,36714.96,1157.02,122.38
2022-12,Paid Social,387,433,52741.35,1134.91,121.8
2022-12,Search,196,219,27524.34,1125.33,125.68
2023-01,Influencer,233,331,39488.16,760.65,119.3
2023-01,Organic,725,983,116055.29,1161.64,118.06
2023-01,Paid Social,969,1319,153988.45,1126.87,116.75
2023-01,Search,502,678,78102.5,1128.3,115.2
2023-02,Influencer,214,274,32132.39,675.49,117.27
2023-02,Organic,672,889,104378.19,1125.18,117.41
2023-02,Paid Social,915,1190,143673.91,1139.29,120.73
2023-02,Search,450,596,68544.26,1157.46,115.01
2023-03,Influencer,219,303,36040.33,755.51,118.94
2023-03,Organic,714,940,108105.56,1097.93,115.01
2023-03,Paid Social,981,1317,156302.32,1142.76,118.68
2023-03,Search,462,640,72304.1,1144.79,112.98
2023-04,Influencer,223,311,37660.88,792.44,121.1
2023-04,Organic,677,921,108359.08,1137.26,117.65
2023-04,Paid Social,977,1313,151799.36,1142.44,115.61
2023-04,Search,458,599,75154.01,1105.8,125.47
2023-05,Influencer,248,331,40585.08,695.1,122.61
2023-05,Organic,708,958,113630.16,1142.06,118.61
2023-05,Paid Social,969,1322,157033.11,1119.84,118.78
2023-05,Search,506,662,79390.99,1122.88,119.93
2023-06,Influencer,226,304,36249.58,756.51,119.24
2023-06,Organic,696,957,116309.12,1178.6,121.54
2023-06,Paid Social,896,1194,140807.96,1162.68,117.93
2023-06,Search,483,661,78572.53,1124.65,118.87
2023-07,Influencer,252,347,38958.28,739.43,112.27
2023-07,Organic,712,968,114434.03,1165.66,118.22
2023-07,Paid Social,1010,1371,161217.26,1129.77,117.59
2023-07,Search,465,616,75807.42,1142.79,123.06
2023-08,Influencer,226,320,38916.01,735.25,121.61
2023-08,Organic,686,952,112036.08,1114.09,117.68
2023-08,Paid Social,973,1307,154044.37,1143.24,117.86
2023-08,Search,498,674,82163.69,1119.94,121.9
2023-09,Influencer,228,312,36736.85,731.53,117.75
2023-09,Organic,699,966,113611.36,1155.19,117.61
2023-09,Paid Social,966,1322,154716.89,1114.65,117.03
2023-09,Search,440,599,70600.37,1188.05,117.86
2023-10,Influencer,241,334,40015.63,748.65,119.81
2023-10,Organic,729,978,116204.06,1142.02,118.82
2023-10,Paid Social,979,1360,155255.34,1126.31,114.16
2023-10,Search,484,647,80761.98,1140.58,124.83
2023-11,Influencer,228,303,34537.02,713.56,113.98
2023-11,Organic,722,956,114927.78,1145.32,120.22
2023-11,Paid Social,921,1231,148771.47,1144.75,120.85
2023-11,Search,462,631,76270.67,1128.17,120.87
2023-12,Influencer,178,223,27225.89,719.51,122.09
2023-12,Organic,514,642,75600.97,1142.62,117.76
2023-12,Paid Social,666,826,94626.67,1129.48,114.56
2023-12,Search,329,411,48243.15,1133.72,117.38
