CustomerID,AcqChannel,Device,MacroRegion,MicroZone,PrimaryGoal,LoyaltyTier,RewardPoints,ProjectedLTV,CustomerReturnRatePct
CUST-0001,Paid Social,iOS App,North,Zone-8,General Health,Bronze,3078,323.08,0.0
CUST-0002,Organic,iOS App,West,Zone-6,Muscle Gain,Bronze,4657,1425.31,0.0
CUST-0003,Organic,Desktop,East,Zone-5,Muscle Gain,Bronze,4788,213.27,20.0
CUST-0004,Paid Social,iOS App,East,Zone-1,Weight Loss,Bronze,103,1405.34,8.0
CUST-0005,Paid Social,Android App,North,Zone-2,General Health,Bronze,4243,964.32,0.0
CUST-0006,Organic,iOS App,West,Zone-4,Weight Loss,Silver,2521,766.6,0.0
CUST-0007,Organic,Desktop,West,Zone-3,Weight Loss,Bronze,3684,1411.47,10.0
CUST-0008,Influencer,Android App,East,Zone-6,Muscle Gain,Bronze,917,311.25,45.0
CUST-0009,Search,Desktop,South,Zone-4,Muscle Gain,Bronze,2641,772.22,0.0
CUST-0010,Influencer,Android App,North,Zone-5,Weight Loss,Bronze,3108,532.99,12.0
CUST-0011,Paid Social,Desktop,East,Zone-6,Endurance,Silver,416,346.45,0.0
CUST-0012,Search,Desktop,North,Zone-6,Endurance,Silver,4519,432.18,12.0
CUST-0013,Paid Social,Android App,East,Zone-8,Endurance,Bronze,510,498.12,11.0
CUST-0014,Influencer,Desktop,South,Zone-2,Endurance,Bronze,2177,278.74,0.0
CUST-0015,Search,Android App,North,Zone-8,General Health,Silver,2842,914.43,0.0
CUST-0016,Organic,Desktop,North,Zone-2,Endurance,Bronze,3078,949.18,0.0
CUST-0017,Paid Social,iOS App,East,Zone-9,Endurance,Bronze,3786,1469.17,7.0
CUST-0018,Paid Social,Android App,West,Zone-6,General Health,Gold,2817,1774.01,0.0
CUST-0019,Influencer,Desktop,East,Zone-6,Muscle Gain,Bronze,969,753.07,38.0
CUST-0020,Search,Android App,South,Zone-2,Muscle Gain,Bronze,366,403.31,17.0
CUST-0021,Influencer,Android App,West,Zone-8,General Health,Bronze,1421,492.08,0.0
CUST-0022,Organic,Android App,West,Zone-1,Endurance,Silver,4371,550.63,0.0
CUST-0023,Paid Social,Desktop,South,Zone-8,Weight Loss,Bronze,915,818.69,14.0
CUST-0024,Paid Social,iOS App,West,Zone-6,Endurance,Bronze,443,576.59,0.0
CUST-0025,Paid Social,Desktop,South,Zone-4,Weight Loss,Bronze,2582,569.81,0.0
CUST-0026,Influencer,iOS App,West,Zone-9,General Health,Bronze,3062,594.64,25.0
CUST-0027,Paid Social,Mobile Web,West,Zone-8,Endurance,Bronze,2182,399.37,17.0
CUST-0028,Search,Android App,East,Zone-4,General Health,Gold,4585,781.16,0.0
CUST-0029,Search,Android App,East,Zone-5,Endurance,Bronze,3394,1362.94,0.0
CUST-0030,Search,Desktop,South,Zone-9,General Health,Bronze,828,531.58,0.0
CUST-0031,Paid Social,Android App,North,Zone-5,Weight Loss,Bronze,3701,990.26,0.0
CUST-0032,Organic,Android App,North,Zone-7,Muscle Gain,Bronze,3147,1160.92,0.0
CUST-0033,Paid Social,Android App,South,Zone-8,General Health,Bronze,630,934.4,0.0
CUST-0034,Influencer,Android App,East,Zone-6,Endurance,Silver,3399,617.24,0.0
CUST-0035,Organic,iOS App,South,Zone-2,General Health,Bronze,4076,606.27,0.0
CUST-0036,Organic,Mobile Web,South,Zone-7,General Health,Bronze,3181,566.0,9.0
CUST-0037,Paid Social,Desktop,East,Zone-2,Weight Loss,Bronze,4293,739.66,12.0
CUST-0038,Paid Social,Android App,South,Zone-5,Muscle Gain,Bronze,3021,593.67,12.0
CUST-0039,Organic,Desktop,North,Zone-1,Weight Loss,Bronze,2143,917.38,6.0
CUST-0040,Paid Social,Android App,East,Zone-6,Endurance,Silver,533,1378.16,8.0
CUST-0041,Search,Android App,West,Zone-8,Muscle Gain,Bronze,1024,1117.4,15.0
CUST-0042,Paid Social,Android App,East,Zone-3,Muscle Gain,Bronze,4318,1306.66,0.0
CUST-0043,Search,Android App,North,Zone-3,Muscle Gain,Bronze,2256,682.77,0.0
CUST-0044,Paid Social,iOS App,South,Zone-1,Muscle Gain,Bronze,827,407.99,0.0
CUST-0045,Paid Social,iOS App,South,Zone-3,Muscle Gain,Bronze,2824,2834.22,0.0
CUST-0046,Paid Social,iOS App,South,Zone-4,General Health,Bronze,1220,548.47,0.0
CUST-0047,Organic,iOS App,South,Zone-6,General Health,Gold,2746,871.37,0.0
CUST-0048,Search,iOS App,East,Zone-9,General Health,Gold,802,763.45,0.0
CUST-0049,Search,iOS App,East,Zone-9,General Health,Bronze,3429,1080.91,10.0
CUST-0050,Paid Social,iOS App,East,Zone-2,Endurance,Bronze,1004,1932.19,0.0
CUST-0051,Organic,Desktop,East,Zone-5,General Health,Bronze,3137,1090.07,11.0
CUST-0052,Paid Social,iOS App,East,Zone-4,Muscle Gain,Gold,979,454.98,0.0
CUST-0053,Search,iOS App,South,Zone-7,Muscle Gain,Bronze,1501,948.61,8.0
CUST-0054,Paid Social,iOS App,East,Zone-6,Endurance,Bronze,4632,644.1,0.0
CUST-0055,Organic,Android App,East,Zone-8,Endurance,Bronze,4392,1408.8,0.0
CUST-0056,Organic,iOS App,North,Zone-9,Muscle Gain,Bronze,1162,848.75,0.0
CUST-0057,Paid Social,Android App,West,Zone-4,Weight Loss,Bronze,584,2019.55,0.0
CUST-0058,Organic,iOS App,South,Zone-5,General Health,Silver,513,977.36,0.0
CUST-0059,Paid Social,Android App,West,Zone-6,General Health,Silver,2057,915.96,0.0
CUST-0060,Paid Social,iOS App,North,Zone-2,Muscle Gain,Bronze,1007,636.68,0.0
CUST-0061,Organic,iOS App,North,Zone-1,Muscle Gain,Bronze,1163,1144.58,0.0
CUST-0062,Paid Social,Desktop,East,Zone-2,General Health,Gold,1063,360.55,0.0
CUST-0063,Influencer,Android App,East,Zone-4,Weight Loss,Bronze,2907,952.59,20.0
CUST-0064,Paid Social,iOS App,East,Zone-7,Endurance,Bronze,4294,1508.55,10.0
CUST-0065,Organic,iOS App,East,Zone-5,Muscle Gain,Silver,653,1441.71,8.0
CUST-0066,Organic,Android App,West,Zone-6,Endurance,Silver,2313,619.36,12.0
CUST-0067,Paid Social,Desktop,South,Zone-8,Weight Loss,Silver,3282,1906.35,7.0
CUST-0068,Organic,Android App,East,Zone-5,General Health,Bronze,1299,983.29,0.0
CUST-0069,Paid Social,iOS App,East,Zone-3,Muscle Gain,Bronze,3281,784.33,0.0
CUST-0070,Paid Social,Desktop,West,Zone-8,Weight Loss,Silver,4570,1316.06,7.0
CUST-0071,Search,Mobile Web,West,Zone-6,Weight Loss,Gold,421,311.83,0.0
CUST-0072,Influencer,Android App,West,Zone-9,Endurance,Silver,30,596.38,33.0
CUST-0073,Paid Social,Android App,North,Zone-7,Endurance,Bronze,3995,1590.02,0.0
CUST-0074,Paid Social,iOS App,East,Zone-1,Weight Loss,Bronze,2993,647.51,12.0
CUST-0075,Organic,Android App,East,Zone-7,Muscle Gain,Silver,641,2093.76,0.0
CUST-0076,Paid Social,Android App,West,Zone-5,Muscle Gain,Bronze,4056,1710.19,0.0
CUST-0077,Paid Social,iOS App,South,Zone-4,Weight Loss,Bronze,2762,1325.3,0.0
CUST-0078,Paid Social,Desktop,East,Zone-9,General Health,Bronze,2153,842.4,0.0
CUST-0079,Organic,Desktop,East,Zone-8,General Health,Bronze,2663,1018.94,14.0
CUST-0080,Organic,iOS App,South,Zone-3,Endurance,Bronze,4399,410.03,0.0
CUST-0081,Organic,Android App,South,Zone-5,Endurance,Bronze,1827,1573.35,0.0
CUST-0082,Search,Android App,South,Zone-4,Weight Loss,Bronze,420,786.6,0.0
CUST-0083,Paid Social,iOS App,North,Zone-1,Weight Loss,Bronze,1227,462.19,0.0
CUST-0084,Organic,Android App,West,Zone-5,General Health,Silver,4579,782.58,10.0
CUST-0085,Organic,iOS App,East,Zone-4,Endurance,Bronze,3585,2230.01,0.0
CUST-0086,Paid Social,Android App,East,Zone-1,Endurance,Bronze,2840,1340.32,0.0
CUST-0087,Influencer,iOS App,South,Zone-3,Muscle Gain,Bronze,4171,747.28,14.0
CUST-0088,Search,iOS App,East,Zone-2,Weight Loss,Bronze,1837,469.92,0.0
CUST-0089,Paid Social,Desktop,North,Zone-4,Endurance,Bronze,2125,759.29,0.0
CUST-0090,Organic,Android App,South,Zone-1,Endurance,Bronze,3513,1045.0,0.0
CUST-0091,Paid Social,iOS App,East,Zone-8,Muscle Gain,Bronze,4549,596.27,0.0
CUST-0092,Paid Social,Mobile Web,South,Zone-2,Weight Loss,Bronze,4017,1324.16,0.0
CUST-0093,Organic,iOS App,North,Zone-2,Muscle Gain,Gold,3438,590.89,0.0
CUST-0094,Organic,iOS App,East,Zone-8,General Health,Bronze,4621,997.03,0.0
CUST-0095,Paid Social,Desktop,North,Zone-2,Weight Loss,Bronze,1968,341.13,17.0
CUST-0096,Paid Social,Android App,South,Zone-7,General Health,Bronze,4596,1622.05,10.0
CUST-0097,Paid Social,iOS App,East,Zone-1,Endurance,Bronze,2719,1097.13,0.0
CUST-0098,Paid Social,Android App,South,Zone-2,Muscle Gain,Gold,1917,1245.38,0.0
CUST-0099,Paid Social,Android App,North,Zone-4,General Health,Bronze,420,930.02,15.0
CUST-0100,Organic,Mobile Web,South,Zone-6,General Health,Gold,1405,755.16,33.0
CUST-0101,Paid Social,Mobile Web,North,Zone-4,Weight Loss,Silver,3081,1245.03,0.0
CUST-0102,Paid Social,iOS App,North,Zone-3,Muscle Gain,Silver,2336,2248.36,7.0
CUST-0103,Search,iOS App,East,Zone-2,Muscle Gain,Bronze,438,344.8,0.0
CUST-0104,Paid Social,Desktop,South,Zone-6,Muscle Gain,Bronze,2876,255.25,0.0
CUST-0105,Paid Social,Desktop,South,Zone-6,General Health,Bronze,4822,1111.61,0.0
CUST-0106,Paid Social,iOS App,East,Zone-2,General Health,Gold,4621,249.16,0.0
CUST-0107,Search,Android App,South,Zone-9,General Health,Silver,3640,1626.44,9.0
CUST-0108,Organic,Android App,West,Zone-9,Endurance,Bronze,2416,1083.73,0.0
CUST-0109,Paid Social,Desktop,West,Zone-4,General Health,Bronze,79,795.51,0.0
CUST-0110,Paid Social,Android App,East,Zone-5,Weight Loss,Silver,4480,1819.8,0.0
