Month,TotalLaborCost,WarehouseRent,TotalOrdersProcessed,TotalIncidents,AvgErrorRate,AvgPickTimeMin,AvgPackTimeMin
2022-01,91016,25000,192,0,0.011,2.8,40.2
2022-03,44326,25000,105,2,0.01,2.9,25.5
2022-04,40977,25000,122,1,0.006,3.4,29.2
2022-05,85406,25000,156,3,0.012,3.15,36.3
2022-06,41393,25000,138,1,0.01,2.7,34.5
2022-07,43705,25000,118,2,0.01,3.3,34.1
2022-08,43672,25000,113,1,0.012,3.1,47.6
2022-09,44033,25000,103,2,0.011,3.2,37.7
2022-10,46881,25000,89,2,0.007,3.0,38.9
2022-11,44488,25000,95,1,0.006,2.6,34.4
2022-12,62702,25000,1147,4,0.065,5.8,88.1
2023-01,66463,25000,984,2,0.073,5.2,74.2
2023-02,81711,25000,1139,2,0.051,4.8,82.5
2023-03,70196,25000,820,5,0.061,6.0,89.9
2023-04,81944,25000,762,1,0.053,6.9,147.0
2023-05,77608,25000,716,4,0.064,4.7,78.2
2023-06,61522,25000,937,3,0.078,7.4,93.7
2023-07,66732,25000,689,1,0.067,7.4,99.3
2023-08,84189,25000,903,3,0.061,5.3,88.0
2023-09,60163,25000,864,5,0.061,4.9,125.8
2023-10,64663,25000,807,4,0.071,6.1,153.0
2023-11,65403,25000,944,5,0.042,4.9,158.2
