ProductID,Category,ContributionProxy,ReturnRate,StorageBurden
SKU-087,Supplements,-9091.622046999999,0.077,695.2
SKU-090,Accessories,-3610.4209899999996,0.085,53.1
SKU-169,Supplements,-1427.701794,0.348,38.5
SKU-069,Apparel,-1397.050794,0.082,164.4
SKU-165,Supplements,-1169.2888189999999,0.321,39.6
SKU-187,Apparel,-1135.5379280000002,0.294,8.25
SKU-106,Equipment,-1004.970776,0.364,112.0
SKU-110,Equipment,-997.112502,0.227,144.0
SKU-124,Apparel,-930.9161549999999,0.333,8.0
SKU-196,Equipment,-745.4542319999999,0.211,112.0
