CustomerID_Normalized,Orders,Revenue,FirstOrderDate,LastOrderDate,AOV,PurchaseFrequencyPerMonth,RepeatCustomer,CohortMonth,AcquisitionChannel,CustomerTier,ProjectedLTV,ModeledReturnRiskPct,Region
CUST-0001,5,639.6600000000001,2022-06-25,2023-07-23,127.93200000000002,0.38578680203045684,True,2022-06,Paid Social,Bronze,323.08,0.0,North
CUST-0002,13,1419.65,2022-02-24,2023-07-25,109.20384615384616,0.7644100580270793,True,2022-02,Organic,Bronze,1425.31,0.0,West
CUST-0003,5,434.08,2022-02-26,2023-09-01,86.816,0.2748643761301989,True,2022-02,Organic,Bronze,213.27,20.0,East
CUST-0004,13,1337.02,2022-09-05,2023-11-17,102.84769230769231,0.9002277904328018,True,2022-09,Paid Social,Bronze,1405.34,8.0,East
CUST-0005,10,1043.68,2022-02-18,2023-11-21,104.36800000000001,0.4735202492211838,True,2022-02,Paid Social,Bronze,964.32,0.0,North
CUST-0006,7,988.39,2023-01-09,2023-09-13,141.19857142857143,0.8580645161290321,True,2023-01,Organic,Silver,766.6,0.0,West
CUST-0007,10,1207.1100000000001,2022-06-19,2023-11-15,120.71100000000001,0.5902912621359223,True,2022-06,Organic,Bronze,1411.47,10.0,West
CUST-0008,11,1207.82,2022-02-07,2023-12-17,109.80181818181818,0.4924889543446244,True,2022-02,Influencer,Bronze,311.25,45.0,East
CUST-0009,12,1598.8899999999999,2022-01-06,2023-12-11,133.2408333333333,0.5174468085106383,True,2022-01,Search,Bronze,772.22,0.0,South
CUST-0010,8,874.22,2022-01-31,2023-12-03,109.2775,0.3619047619047619,True,2022-01,Influencer,Bronze,532.99,12.0,North
CUST-0011,3,477.23,2022-07-24,2023-07-15,159.07666666666668,0.25546218487394956,True,2022-07,Paid Social,Silver,346.45,0.0,East
CUST-0012,8,945.8399999999999,2022-03-20,2023-11-25,118.22999999999999,0.39480519480519477,True,2022-03,Search,Silver,432.18,12.0,North
CUST-0013,9,890.43,2022-03-13,2023-08-13,98.93666666666667,0.5271676300578034,True,2022-03,Paid Social,Bronze,498.12,11.0,East
CUST-0014,3,339.6,2022-06-04,2023-03-19,113.2,0.31557093425605537,True,2022-06,Influencer,Bronze,278.74,0.0,South
CUST-0015,10,981.02,2022-12-21,2023-11-02,98.102,0.9589905362776026,True,2022-12,Search,Silver,914.43,0.0,North
CUST-0016,6,723.4,2022-01-27,2023-11-21,120.56666666666666,0.2746987951807229,True,2022-01,Organic,Bronze,949.18,0.0,North
CUST-0017,14,2334.27,2022-01-04,2023-12-19,166.73357142857142,0.5952447552447553,True,2022-01,Paid Social,Bronze,1469.17,7.0,East
CUST-0018,15,1786.09,2023-01-29,2023-11-24,119.07266666666666,1.52,True,2023-01,Paid Social,Gold,1774.01,0.0,West
CUST-0019,13,1252.78,2022-06-17,2023-12-12,96.36769230769231,0.7264705882352941,True,2022-06,Influencer,Bronze,753.07,38.0,East
CUST-0020,6,573.16,2022-01-02,2023-10-12,95.52666666666666,0.2810477657935285,True,2022-01,Search,Bronze,403.31,17.0,South
CUST-0021,7,588.96,2022-06-26,2023-10-28,84.13714285714286,0.4342857142857143,True,2022-06,Influencer,Bronze,492.08,0.0,West
CUST-0022,9,514.59,2023-01-10,2023-12-20,57.17666666666667,0.7930434782608695,True,2023-01,Organic,Silver,550.63,0.0,West
CUST-0023,7,742.38,2022-03-17,2023-11-13,106.05428571428571,0.3505766062602965,True,2022-03,Paid Social,Bronze,818.69,14.0,South
CUST-0024,8,840.62,2022-01-01,2023-06-28,105.0775,0.44705882352941173,True,2022-01,Paid Social,Bronze,576.59,0.0,West
CUST-0025,7,1196.3899999999999,2022-01-02,2023-10-18,170.91285714285712,0.3248854961832061,True,2022-01,Paid Social,Bronze,569.81,0.0,South
CUST-0026,16,1724.96,2022-01-30,2023-12-19,107.81,0.7059506531204645,True,2022-01,Influencer,Bronze,594.64,25.0,West
CUST-0027,6,608.9,2022-04-07,2023-08-21,101.48333333333333,0.3633466135458167,True,2022-04,Paid Social,Bronze,399.37,17.0,West
CUST-0028,7,733.96,2023-03-09,2023-08-19,104.85142857142857,1.297560975609756,True,2023-03,Search,Gold,781.16,0.0,East
CUST-0029,12,1638.49,2022-07-12,2023-11-15,136.54083333333332,0.7414634146341462,True,2022-07,Search,Bronze,1362.94,0.0,East
CUST-0030,8,606.04,2022-01-16,2023-12-05,75.755,0.3529753265602322,True,2022-01,Search,Bronze,531.58,0.0,South
CUST-0031,13,1799.1499999999999,2022-05-07,2023-12-20,138.39615384615382,0.6664418212478921,True,2022-05,Paid Social,Bronze,990.26,0.0,North
CUST-0032,8,1086.54,2023-05-02,2023-12-01,135.8175,1.136448598130841,True,2023-05,Organic,Bronze,1160.92,0.0,North
CUST-0033,11,1370.3,2022-08-19,2023-12-05,124.57272727272726,0.7054852320675105,True,2022-08,Paid Social,Bronze,934.4,0.0,South
CUST-0034,4,665.14,2022-12-01,2023-11-27,166.285,0.3359116022099447,True,2022-12,Influencer,Silver,617.24,0.0,East
CUST-0035,12,741.6800000000001,2022-03-17,2023-11-04,61.80666666666667,0.6100334448160535,True,2022-03,Organic,Bronze,606.27,0.0,South
CUST-0036,11,1207.49,2022-07-09,2023-11-01,109.77181818181818,0.6952182952182953,True,2022-07,Organic,Bronze,566.0,9.0,South
CUST-0037,8,827.0699999999999,2022-07-21,2023-09-22,103.38374999999999,0.5668997668997668,True,2022-07,Paid Social,Bronze,739.66,12.0,East
CUST-0038,8,970.03,2022-03-06,2023-12-11,121.25375,0.3764705882352941,True,2022-03,Paid Social,Bronze,593.67,12.0,South
CUST-0039,16,1826.24,2022-03-23,2023-12-12,114.14,0.7720634920634921,True,2022-03,Organic,Bronze,917.38,6.0,North
CUST-0040,12,1449.66,2022-01-12,2023-11-25,120.805,0.5341142020497803,True,2022-01,Paid Social,Silver,1378.16,8.0,East
CUST-0041,13,1441.3899999999999,2022-08-05,2023-12-12,110.87615384615384,0.7983838383838383,True,2022-08,Search,Bronze,1117.4,15.0,West
CUST-0042,11,1774.8799999999999,2022-08-06,2023-12-06,161.35272727272726,0.6852459016393442,True,2022-08,Paid Social,Bronze,1306.66,0.0,East
CUST-0043,12,840.84,2022-01-15,2023-12-12,70.07000000000001,0.5233859397417503,True,2022-01,Search,Bronze,682.77,0.0,North
CUST-0044,6,399.81,2022-03-22,2023-11-08,66.635,0.30552763819095474,True,2022-03,Paid Social,Bronze,407.99,0.0,South
CUST-0045,13,2603.86,2022-07-09,2023-12-20,200.2969230769231,0.7456603773584904,True,2022-07,Paid Social,Bronze,2834.22,0.0,South
CUST-0046,6,649.69,2022-09-28,2023-12-13,108.28166666666668,0.41266968325791853,True,2022-09,Paid Social,Bronze,548.47,0.0,South
